"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-1553.DPorder";"session.node-3022.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"Ra";;;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-03-24 11:41:31.604";"2014-03-24 11:41:54.593";"1";"0";"1";"1";"0";"module.GoNoGotutorial.exec-2475.GoNoGo_Tutorial";"4003";"2014-03-24 11:41:39.853";"leftResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-03-24 11:41:35.849"
"Ra";;;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-03-24 11:41:31.604";"2014-03-24 11:41:54.593";"1";"0";"1";"2";"1";"module.GoNoGotutorial.exec-2475.GoNoGo_Tutorial";"3997";"2014-03-24 11:41:45.173";"rightResponse";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-03-24 11:41:41.168"
"Ra";;;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-03-24 11:41:31.604";"2014-03-24 11:41:54.593";"1";"0";"1";"3";"2";"module.GoNoGotutorial.exec-2475.GoNoGo_Tutorial";"3993";"2014-03-24 11:41:50.481";"signalResponse";"0";"FINISHED";"NONE";"success";"0";"1";"2014-03-24 11:41:46.478"
