"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-3340.DPorder";"session.node-9946.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"11";"10";"module.GoNoGopractice.exec-6401.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1951";"2014-02-13 16:41:20.833";"34";"0";"FINISHED";"LEFT";"success";"380";"0";"2014-02-13 16:41:18.881";"3";;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"12";"11";"module.GoNoGopractice.exec-6401.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1965";"2014-02-13 16:41:24.116";"23";"1";"FINISHED";"RIGHT";"success";"281";"0";"2014-02-13 16:41:22.150";"3";;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"13";"12";"module.GoNoGopractice.exec-6401.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1951";"2014-02-13 16:41:27.387";"13";"0";"FINISHED";"LEFT";"success";"420";"0";"2014-02-13 16:41:25.435";"2";;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"14";"13";"module.GoNoGopractice.exec-6401.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-02-13 16:41:30.652";"3";"1";"FINISHED";"RIGHT";"success";"608";"0";"2014-02-13 16:41:28.701";"1";;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"15";"14";"module.GoNoGopractice.exec-6401.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1958";"2014-02-13 16:41:33.928";"27";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-13 16:41:31.969";"3";;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"16";"15";"module.training_block1.exec-7205.GoNoGo1";"1251";"2014-02-13 16:41:46.221";"31";"0";"FINISHED";"LEFT";"success";"358";"0";"2014-02-13 16:41:44.970";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"17";"16";"module.training_block1.exec-7205.GoNoGo1";"1249";"2014-02-13 16:41:48.783";"2";"1";"FINISHED";"RIGHT";"success";"281";"0";"2014-02-13 16:41:47.533";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"18";"17";"module.training_block1.exec-7205.GoNoGo1";"1249";"2014-02-13 16:41:51.356";"15";"1";"FINISHED";"RIGHT";"success";"288";"0";"2014-02-13 16:41:50.106";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"19";"18";"module.training_block1.exec-7205.GoNoGo1";"1249";"2014-02-13 16:41:53.915";"20";"0";"FINISHED";"LEFT";"success";"461";"0";"2014-02-13 16:41:52.665";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"20";"19";"module.training_block1.exec-7205.GoNoGo1";"1249";"2014-02-13 16:41:56.522";"5";"0";"FINISHED";"LEFT";"success";"287";"0";"2014-02-13 16:41:55.272";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
