"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2964.blockOrder";"session.node-2964.IATorder";"session.node-2964.keyOrder";"session.node-4522.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime";"trial.IAT_block1.durationTime";"trial.IAT_block1.endTime";"trial.IAT_block1.outcome";"trial.IAT_block1.response";"trial.IAT_block1.result";"trial.IAT_block1.RT";"trial.IAT_block1.startTime";"trial.IAT_block1.Stimfile";"trial.IAT_block1.stimType";"trial.IAT_block1.word";"trial.IAT_Practice1.durationTime";"trial.IAT_Practice1.endTime";"trial.IAT_Practice1.outcome";"trial.IAT_Practice1.response";"trial.IAT_Practice1.result";"trial.IAT_Practice1.RT";"trial.IAT_Practice1.startTime";"trial.IAT_Practice1.Stimfile";"trial.IAT_Practice1.stimType";"trial.IAT_Practice1.word"
"2013_022";"1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-03-09 13:46:41.157";"2015-03-09 13:58:10.881";"1";"0";"0";"1";"0";"1";"0";"module.GoNoGotutorial.exec-9021.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3998";"2015-03-09 13:47:11.281";"leftResponse";"0";"FINISHED";"LEFT";"success";"1920";"0";"2015-03-09 13:47:07.272";;;;;;;;;;;;;;;;;;;;
"2013_022";"1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-03-09 13:46:41.157";"2015-03-09 13:58:10.881";"1";"0";"0";"1";"0";"2";"1";"module.GoNoGotutorial.exec-9021.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4002";"2015-03-09 13:47:16.585";"rightResponse";"1";"FINISHED";"NONE";"failure";"0";"0";"2015-03-09 13:47:12.576";;;;;;;;;;;;;;;;;;;;
"2013_022";"1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-03-09 13:46:41.157";"2015-03-09 13:58:10.881";"1";"0";"0";"1";"0";"3";"2";"module.GoNoGotutorial.exec-9021.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4003";"2015-03-09 13:47:21.889";"quickResponse";"0";"FINISHED";"LEFT";"success";"1862";"0";"2015-03-09 13:47:17.880";;;;;;;;;;;;;;;;;;;;
"2013_022";"1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-03-09 13:46:41.157";"2015-03-09 13:58:10.881";"1";"0";"0";"1";"0";"4";"3";"module.GoNoGopractice.exec-2792.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2015-03-09 13:47:30.204";"18";"0";"FINISHED";"LEFT";"success";"438";"0";"2015-03-09 13:47:28.238";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013_022";"1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-03-09 13:46:41.157";"2015-03-09 13:58:10.881";"1";"0";"0";"1";"0";"5";"4";"module.GoNoGopractice.exec-2792.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2015-03-09 13:47:33.464";"21";"1";"FINISHED";"RIGHT";"success";"763";"0";"2015-03-09 13:47:31.499";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013_022";"1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-03-09 13:46:41.157";"2015-03-09 13:58:10.881";"1";"0";"0";"1";"0";"6";"5";"module.GoNoGopractice.exec-2792.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2015-03-09 13:47:36.725";"14";"1";"FINISHED";"RIGHT";"success";"470";"0";"2015-03-09 13:47:34.759";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013_022";"1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-03-09 13:46:41.157";"2015-03-09 13:58:10.881";"1";"0";"0";"1";"0";"7";"6";"module.GoNoGopractice.exec-2792.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1952";"2015-03-09 13:47:40.079";"26";"0";"FINISHED";"LEFT";"success";"437";"0";"2015-03-09 13:47:38.113";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013_022";"1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-03-09 13:46:41.157";"2015-03-09 13:58:10.881";"1";"0";"0";"1";"0";"8";"7";"module.GoNoGopractice.exec-2792.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2015-03-09 13:47:43.323";"2";"0";"FINISHED";"LEFT";"success";"424";"0";"2015-03-09 13:47:41.358";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013_022";"1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-03-09 13:46:41.157";"2015-03-09 13:58:10.881";"1";"0";"0";"1";"0";"9";"8";"module.GoNoGopractice.exec-2792.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2015-03-09 13:47:46.568";"30";"0";"FINISHED";"LEFT";"success";"394";"0";"2015-03-09 13:47:44.603";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013_022";"1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-03-09 13:46:41.157";"2015-03-09 13:58:10.881";"1";"0";"0";"1";"0";"10";"9";"module.GoNoGopractice.exec-2792.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2015-03-09 13:47:49.813";"6";"1";"FINISHED";"RIGHT";"success";"334";"0";"2015-03-09 13:47:47.847";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013_022";"1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-03-09 13:46:41.157";"2015-03-09 13:58:10.881";"1";"0";"0";"1";"0";"11";"10";"module.GoNoGopractice.exec-2792.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1960";"2015-03-09 13:47:53.058";"34";"0";"FINISHED";"LEFT";"success";"402";"0";"2015-03-09 13:47:51.092";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013_022";"1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-03-09 13:46:41.157";"2015-03-09 13:58:10.881";"1";"0";"0";"1";"0";"12";"11";"module.GoNoGopractice.exec-2792.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2015-03-09 13:47:56.303";"23";"1";"FINISHED";"RIGHT";"success";"852";"0";"2015-03-09 13:47:54.337";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013_022";"1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-03-09 13:46:41.157";"2015-03-09 13:58:10.881";"1";"0";"0";"1";"0";"13";"12";"module.GoNoGopractice.exec-2792.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2015-03-09 13:47:59.547";"13";"0";"FINISHED";"LEFT";"success";"367";"0";"2015-03-09 13:47:57.582";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013_022";"1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2015-03-09 13:46:41.157";"2015-03-09 13:58:10.881";"1";"0";"0";"1";"0";"14";"13";"module.GoNoGopractice.exec-2792.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1960";"2015-03-09 13:48:02.792";"3";"1";"FINISHED";"RIGHT";"success";"516";"0";"2015-03-09 13:48:00.827";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
