"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-5431.conditionType";"session.node-9724.blockOrder";"session.node-9724.IATorder";"session.node-9724.keyOrder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"11";"10";"module.GoNoGopractice.exec-1287.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2013-11-25 13:04:55.724";"34";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:04:53.770";"3";;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"12";"11";"module.GoNoGopractice.exec-1287.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2013-11-25 13:04:58.942";"23";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:04:56.989";"3";;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"13";"12";"module.GoNoGopractice.exec-1287.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2013-11-25 13:05:02.161";"13";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:00.208";"2";;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"14";"13";"module.GoNoGopractice.exec-1287.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2013-11-25 13:05:05.380";"3";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:03.427";"1";;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"15";"14";"module.GoNoGopractice.exec-1287.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2013-11-25 13:05:08.599";"27";"1";"FINISHED";"RIGHT";"success";"236";"0";"2013-11-25 13:05:06.645";"3";;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"16";"15";"module.training_block1.exec-4911.GoNoGo1";"1248";"2013-11-25 13:05:14.708";"2";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:13.458";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"17";"16";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:05:17.224";"7";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:15.974";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"18";"17";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:05:19.739";"22";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:18.489";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"19";"18";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:05:22.255";"15";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:21.005";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"20";"19";"module.training_block1.exec-4911.GoNoGo1";"1248";"2013-11-25 13:05:24.770";"13";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:23.520";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"21";"20";"module.training_block1.exec-4911.GoNoGo1";"1248";"2013-11-25 13:05:27.286";"30";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:26.036";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"22";"21";"module.training_block1.exec-4911.GoNoGo1";"1245";"2013-11-25 13:05:29.802";"32";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:28.552";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"23";"22";"module.training_block1.exec-4911.GoNoGo1";"1248";"2013-11-25 13:05:32.317";"6";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:31.067";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"24";"23";"module.training_block1.exec-4911.GoNoGo1";"1248";"2013-11-25 13:05:34.817";"21";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:33.567";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
