"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-7982.blockOrder";"session.node-7982.IATorder";"session.node-7982.keyOrder";"session.node-9207.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime";"trial.IAT_block1.durationTime";"trial.IAT_block1.endTime";"trial.IAT_block1.outcome";"trial.IAT_block1.response";"trial.IAT_block1.result";"trial.IAT_block1.RT";"trial.IAT_block1.startTime";"trial.IAT_block1.Stimfile";"trial.IAT_block1.stimType";"trial.IAT_block1.word";"trial.IAT_Practice1.durationTime";"trial.IAT_Practice1.endTime";"trial.IAT_Practice1.outcome";"trial.IAT_Practice1.response";"trial.IAT_Practice1.result";"trial.IAT_Practice1.RT";"trial.IAT_Practice1.startTime";"trial.IAT_Practice1.Stimfile";"trial.IAT_Practice1.stimType";"trial.IAT_Practice1.word"
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"11";"10";"module.GoNoGopractice.exec-8467.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1953";"2014-07-21 11:19:54.469";"34";"0";"FINISHED";"LEFT";"success";"370";"0";"2014-07-21 11:19:52.516";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"12";"11";"module.GoNoGopractice.exec-8467.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1951";"2014-07-21 11:19:57.723";"23";"1";"FINISHED";"RIGHT";"success";"373";"0";"2014-07-21 11:19:55.771";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"13";"12";"module.GoNoGopractice.exec-8467.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1958";"2014-07-21 11:20:01.120";"13";"0";"FINISHED";"LEFT";"success";"450";"0";"2014-07-21 11:19:59.161";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"14";"13";"module.GoNoGopractice.exec-8467.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1952";"2014-07-21 11:20:04.372";"3";"1";"FINISHED";"RIGHT";"success";"291";"0";"2014-07-21 11:20:02.419";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"15";"14";"module.GoNoGopractice.exec-8467.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1951";"2014-07-21 11:20:07.627";"27";"1";"FINISHED";"RIGHT";"success";"411";"0";"2014-07-21 11:20:05.675";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"16";"15";"module.training_block1.exec-5543.GoNoGo1";"1251";"2014-07-21 11:20:16.722";"NST_correctLoc";"7";"0";"FINISHED";"LEFT";"success";"327";"0";"2014-07-21 11:20:15.470";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"17";"16";"module.training_block1.exec-5543.GoNoGo1";"1249";"2014-07-21 11:20:19.274";"NST_correctLoc";"8";"1";"FINISHED";"RIGHT";"success";"355";"0";"2014-07-21 11:20:18.024";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"18";"17";"module.training_block1.exec-5543.GoNoGo1";"1249";"2014-07-21 11:20:21.824";"NST_correctLoc";"9";"0";"FINISHED";"LEFT";"success";"355";"0";"2014-07-21 11:20:20.574";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"19";"18";"module.training_block1.exec-5543.GoNoGo1";"1249";"2014-07-21 11:20:24.371";"NST_correctLoc";"26";"0";"FINISHED";"LEFT";"success";"418";"0";"2014-07-21 11:20:23.121";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"20";"19";"module.training_block1.exec-5543.GoNoGo1";"1249";"2014-07-21 11:20:26.920";"NST_correctLoc";"5";"1";"FINISHED";"RIGHT";"success";"340";"0";"2014-07-21 11:20:25.670";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
