"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2074.blockOrder";"session.node-2074.IATorder";"session.node-2074.keyOrder";"session.node-2962.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"11";"10";"module.GoNoGopractice.exec-2197.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-10-02 13:21:45.469";"34";"0";"FINISHED";"LEFT";"success";"315";"0";"2014-10-02 13:21:43.518";"3";;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"12";"11";"module.GoNoGopractice.exec-2197.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-10-02 13:21:48.697";"23";"1";"FINISHED";"RIGHT";"success";"344";"0";"2014-10-02 13:21:46.746";"3";;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"13";"12";"module.GoNoGopractice.exec-2197.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-10-02 13:21:51.924";"13";"0";"FINISHED";"LEFT";"success";"340";"0";"2014-10-02 13:21:49.973";"2";;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"14";"13";"module.GoNoGopractice.exec-2197.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-10-02 13:21:55.151";"3";"1";"FINISHED";"RIGHT";"success";"369";"0";"2014-10-02 13:21:53.200";"1";;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"15";"14";"module.GoNoGopractice.exec-2197.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-10-02 13:21:58.378";"27";"1";"FINISHED";"RIGHT";"success";"342";"0";"2014-10-02 13:21:56.427";"3";;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"16";"15";"module.training_block1.exec-5562.GoNoGo1";"1250";"2014-10-02 13:22:10.302";"NST_correctLoc";"12";"1";"FINISHED";"RIGHT";"success";"397";"0";"2014-10-02 13:22:09.052";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"17";"16";"module.training_block1.exec-5562.GoNoGo1";"1249";"2014-10-02 13:22:12.832";"NST_correctLoc";"22";"0";"FINISHED";"LEFT";"success";"316";"0";"2014-10-02 13:22:11.582";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"18";"17";"module.training_block1.exec-5562.GoNoGo1";"1250";"2014-10-02 13:22:15.358";"NST_correctLoc";"1";"1";"FINISHED";"RIGHT";"success";"349";"0";"2014-10-02 13:22:14.108";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"19";"18";"module.training_block1.exec-5562.GoNoGo1";"1249";"2014-10-02 13:22:17.883";"NST_correctLoc";"11";"0";"FINISHED";"LEFT";"success";"336";"0";"2014-10-02 13:22:16.633";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"20";"19";"module.training_block1.exec-5562.GoNoGo1";"1249";"2014-10-02 13:22:20.558";"NST_correctLoc";"8";"0";"FINISHED";"LEFT";"success";"381";"0";"2014-10-02 13:22:19.308";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
