"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-1212.conditionType";"session.node-1575.blockOrder";"session.node-1575.IATorder";"session.node-1575.keyOrder";"session.node-2155.blockOrder";"session.node-2155.IATorder";"session.node-2155.keyOrder";"session.node-6547.conditionType";"session.node-7411.blockOrder";"session.node-7411.IATorder";"session.node-7411.keyOrder";"session.node-9878.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime";"trial.IAT_block1.durationTime";"trial.IAT_block1.endTime";"trial.IAT_block1.outcome";"trial.IAT_block1.response";"trial.IAT_block1.result";"trial.IAT_block1.RT";"trial.IAT_block1.startTime";"trial.IAT_block1.Stimfile";"trial.IAT_block1.stimType";"trial.IAT_block1.word";"trial.IAT_block2.durationTime";"trial.IAT_block2.endTime";"trial.IAT_block2.outcome";"trial.IAT_block2.response";"trial.IAT_block2.result";"trial.IAT_block2.RT";"trial.IAT_block2.startTime";"trial.IAT_block2.Stimfile";"trial.IAT_block2.stimType";"trial.IAT_block2.word";"trial.IAT_Practice1.durationTime";"trial.IAT_Practice1.endTime";"trial.IAT_Practice1.outcome";"trial.IAT_Practice1.response";"trial.IAT_Practice1.result";"trial.IAT_Practice1.RT";"trial.IAT_Practice1.startTime";"trial.IAT_Practice1.Stimfile";"trial.IAT_Practice1.stimType";"trial.IAT_Practice1.word";"trial.IAT_practice2.durationTime";"trial.IAT_practice2.endTime";"trial.IAT_practice2.outcome";"trial.IAT_practice2.response";"trial.IAT_practice2.result";"trial.IAT_practice2.RT";"trial.IAT_practice2.startTime";"trial.IAT_practice2.Stimfile";"trial.IAT_practice2.stimType";"trial.IAT_practice2.word"
"kiki96";"1996";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-30 12:44:36.658";"2014-09-30 12:59:44.376";"1";"0";"1";"1";"1";;;;;;;;;"11";"10";"module.GoNoGopractice.exec-1759.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1948";"2014-09-30 12:45:55.361";"34";"0";"FINISHED";"LEFT";"success";"309";"0";"2014-09-30 12:45:53.408";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"kiki96";"1996";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-30 12:44:36.658";"2014-09-30 12:59:44.376";"1";"0";"1";"1";"1";;;;;;;;;"12";"11";"module.GoNoGopractice.exec-1759.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1944";"2014-09-30 12:45:58.580";"23";"1";"FINISHED";"RIGHT";"success";"350";"0";"2014-09-30 12:45:56.626";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"kiki96";"1996";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-30 12:44:36.658";"2014-09-30 12:59:44.376";"1";"0";"1";"1";"1";;;;;;;;;"13";"12";"module.GoNoGopractice.exec-1759.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1944";"2014-09-30 12:46:01.814";"13";"0";"FINISHED";"LEFT";"success";"308";"0";"2014-09-30 12:45:59.861";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"kiki96";"1996";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-30 12:44:36.658";"2014-09-30 12:59:44.376";"1";"0";"1";"1";"1";;;;;;;;;"14";"13";"module.GoNoGopractice.exec-1759.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1945";"2014-09-30 12:46:05.033";"3";"1";"FINISHED";"RIGHT";"success";"426";"0";"2014-09-30 12:46:03.080";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"kiki96";"1996";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-30 12:44:36.658";"2014-09-30 12:59:44.376";"1";"0";"1";"1";"1";;;;;;;;;"15";"14";"module.GoNoGopractice.exec-1759.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1944";"2014-09-30 12:46:08.267";"27";"1";"FINISHED";"RIGHT";"success";"543";"0";"2014-09-30 12:46:06.314";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"kiki96";"1996";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-30 12:44:36.658";"2014-09-30 12:59:44.376";"1";"0";"1";"1";"1";;;;;;;;;"16";"15";"module.training_block1.exec-1363.GoNoGo1";"1239";"2014-09-30 12:46:21.501";"NST_correctLoc";"8";"0";"FINISHED";"LEFT";"success";"410";"0";"2014-09-30 12:46:20.251";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"kiki96";"1996";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-30 12:44:36.658";"2014-09-30 12:59:44.376";"1";"0";"1";"1";"1";;;;;;;;;"17";"16";"module.training_block1.exec-1363.GoNoGo1";"1242";"2014-09-30 12:46:24.033";"NST_correctLoc";"22";"0";"FINISHED";"LEFT";"success";"387";"0";"2014-09-30 12:46:22.783";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"kiki96";"1996";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-30 12:44:36.658";"2014-09-30 12:59:44.376";"1";"0";"1";"1";"1";;;;;;;;;"18";"17";"module.training_block1.exec-1363.GoNoGo1";"1242";"2014-09-30 12:46:26.548";"NST_correctLoc";"29";"1";"FINISHED";"RIGHT";"success";"271";"0";"2014-09-30 12:46:25.298";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"kiki96";"1996";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-30 12:44:36.658";"2014-09-30 12:59:44.376";"1";"0";"1";"1";"1";;;;;;;;;"19";"18";"module.training_block1.exec-1363.GoNoGo1";"1241";"2014-09-30 12:46:29.080";"NST_correctLoc";"20";"0";"FINISHED";"LEFT";"success";"299";"0";"2014-09-30 12:46:27.830";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"kiki96";"1996";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-30 12:44:36.658";"2014-09-30 12:59:44.376";"1";"0";"1";"1";"1";;;;;;;;;"20";"19";"module.training_block1.exec-1363.GoNoGo1";"1242";"2014-09-30 12:46:31.595";"NST_correctLoc";"19";"0";"FINISHED";"LEFT";"success";"296";"0";"2014-09-30 12:46:30.345";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
