"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-1737.blockOrder";"session.node-1737.IATorder";"session.node-1737.keyOrder";"session.node-2339.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"!(km*(";"1989";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-08-06 11:20:40.289";"2014-08-06 11:30:44.971";"1";"1";"1";"1";"0";"1";"0";"module.GoNoGotutorial.exec-5928.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4001";"2014-08-06 11:22:45.917";"leftResponse";"0";"FINISHED";"LEFT";"success";"1291";"0";"2014-08-06 11:22:41.915"
"!(km*(";"1989";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-08-06 11:20:40.289";"2014-08-06 11:30:44.971";"1";"1";"1";"1";"0";"2";"1";"module.GoNoGotutorial.exec-5928.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4000";"2014-08-06 11:22:51.265";"rightResponse";"1";"FINISHED";"RIGHT";"success";"1292";"0";"2014-08-06 11:22:47.265"
"!(km*(";"1989";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-08-06 11:20:40.289";"2014-08-06 11:30:44.971";"1";"1";"1";"1";"0";"3";"2";"module.GoNoGotutorial.exec-5928.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3999";"2014-08-06 11:22:56.596";"quickResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-08-06 11:22:52.596"
"!(km*(";"1989";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-08-06 11:20:40.289";"2014-08-06 11:30:44.971";"1";"1";"1";"1";"0";"4";"3";"module.GoNoGopractice.exec-2443.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2019";"2014-08-06 11:23:05.003";"18";"0";"FINISHED";"LEFT";"success";"430";"0";"2014-08-06 11:23:02.984";"3";;;;;;;;;;
"!(km*(";"1989";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-08-06 11:20:40.289";"2014-08-06 11:30:44.971";"1";"1";"1";"1";"0";"5";"4";"module.GoNoGopractice.exec-2443.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1952";"2014-08-06 11:23:08.280";"21";"1";"FINISHED";"RIGHT";"success";"393";"0";"2014-08-06 11:23:06.327";"3";;;;;;;;;;
"!(km*(";"1989";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-08-06 11:20:40.289";"2014-08-06 11:30:44.971";"1";"1";"1";"1";"0";"6";"5";"module.GoNoGopractice.exec-2443.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1964";"2014-08-06 11:23:11.718";"14";"1";"FINISHED";"RIGHT";"success";"380";"0";"2014-08-06 11:23:09.754";"2";;;;;;;;;;
"!(km*(";"1989";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-08-06 11:20:40.289";"2014-08-06 11:30:44.971";"1";"1";"1";"1";"0";"7";"6";"module.GoNoGopractice.exec-2443.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1952";"2014-08-06 11:23:14.998";"26";"0";"FINISHED";"LEFT";"success";"355";"0";"2014-08-06 11:23:13.045";"3";;;;;;;;;;
"!(km*(";"1989";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-08-06 11:20:40.289";"2014-08-06 11:30:44.971";"1";"1";"1";"1";"0";"8";"7";"module.GoNoGopractice.exec-2443.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1953";"2014-08-06 11:23:18.268";"2";"0";"FINISHED";"LEFT";"success";"370";"0";"2014-08-06 11:23:16.315";"1";;;;;;;;;;
"!(km*(";"1989";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-08-06 11:20:40.289";"2014-08-06 11:30:44.971";"1";"1";"1";"1";"0";"9";"8";"module.GoNoGopractice.exec-2443.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-08-06 11:23:21.546";"30";"0";"FINISHED";"LEFT";"success";"345";"0";"2014-08-06 11:23:19.595";"3";;;;;;;;;;
"!(km*(";"1989";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-08-06 11:20:40.289";"2014-08-06 11:30:44.971";"1";"1";"1";"1";"0";"10";"9";"module.GoNoGopractice.exec-2443.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1951";"2014-08-06 11:23:24.812";"6";"1";"FINISHED";"RIGHT";"success";"366";"0";"2014-08-06 11:23:22.860";"1";;;;;;;;;;
