"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-1225.blockOrder";"session.node-1225.IATorder";"session.node-1225.keyOrder";"session.node-1265.blockOrder";"session.node-1265.IATorder";"session.node-1265.keyOrder";"session.node-2455.conditionType";"session.node-5885.conditionType";"session.node-6286.blockOrder";"session.node-6286.IATorder";"session.node-6286.keyOrder";"session.node-8465.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime";"trial.IAT_block1.durationTime";"trial.IAT_block1.endTime";"trial.IAT_block1.outcome";"trial.IAT_block1.response";"trial.IAT_block1.result";"trial.IAT_block1.RT";"trial.IAT_block1.startTime";"trial.IAT_block1.Stimfile";"trial.IAT_block1.stimType";"trial.IAT_block1.word";"trial.IAT_block2.durationTime";"trial.IAT_block2.endTime";"trial.IAT_block2.outcome";"trial.IAT_block2.response";"trial.IAT_block2.result";"trial.IAT_block2.RT";"trial.IAT_block2.startTime";"trial.IAT_block2.Stimfile";"trial.IAT_block2.stimType";"trial.IAT_block2.word";"trial.IAT_block3.durationTime";"trial.IAT_block3.endTime";"trial.IAT_block3.outcome";"trial.IAT_block3.response";"trial.IAT_block3.result";"trial.IAT_block3.RT";"trial.IAT_block3.startTime";"trial.IAT_block3.Stimfile";"trial.IAT_block3.stimType";"trial.IAT_block3.word";"trial.IAT_block4.durationTime";"trial.IAT_block4.endTime";"trial.IAT_block4.outcome";"trial.IAT_block4.response";"trial.IAT_block4.result";"trial.IAT_block4.RT";"trial.IAT_block4.startTime";"trial.IAT_block4.Stimfile";"trial.IAT_block4.stimType";"trial.IAT_block4.word";"trial.IAT_Practice1.durationTime";"trial.IAT_Practice1.endTime";"trial.IAT_Practice1.outcome";"trial.IAT_Practice1.response";"trial.IAT_Practice1.result";"trial.IAT_Practice1.RT";"trial.IAT_Practice1.startTime";"trial.IAT_Practice1.Stimfile";"trial.IAT_Practice1.stimType";"trial.IAT_Practice1.word";"trial.IAT_practice2.durationTime";"trial.IAT_practice2.endTime";"trial.IAT_practice2.outcome";"trial.IAT_practice2.response";"trial.IAT_practice2.result";"trial.IAT_practice2.RT";"trial.IAT_practice2.startTime";"trial.IAT_practice2.Stimfile";"trial.IAT_practice2.stimType";"trial.IAT_practice2.word"
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"11";"10";"module.GoNoGopractice.exec-2165.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1948";"2014-10-03 10:24:54.591";"34";"0";"FINISHED";"LEFT";"success";"344";"0";"2014-10-03 10:24:52.638";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"12";"11";"module.GoNoGopractice.exec-2165.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1948";"2014-10-03 10:24:57.818";"23";"1";"FINISHED";"RIGHT";"success";"317";"0";"2014-10-03 10:24:55.865";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"13";"12";"module.GoNoGopractice.exec-2165.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1947";"2014-10-03 10:25:01.044";"13";"0";"FINISHED";"LEFT";"success";"298";"0";"2014-10-03 10:24:59.091";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"14";"13";"module.GoNoGopractice.exec-2165.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1947";"2014-10-03 10:25:04.271";"3";"1";"FINISHED";"RIGHT";"success";"304";"0";"2014-10-03 10:25:02.318";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"15";"14";"module.GoNoGopractice.exec-2165.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1948";"2014-10-03 10:25:07.498";"27";"1";"FINISHED";"RIGHT";"success";"349";"0";"2014-10-03 10:25:05.544";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"16";"15";"module.training_block1.exec-9441.GoNoGo1";"1244";"2014-10-03 10:25:21.724";"NST_correctLoc";"9";"1";"FINISHED";"RIGHT";"success";"378";"0";"2014-10-03 10:25:20.474";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"17";"16";"module.training_block1.exec-9441.GoNoGo1";"1245";"2014-10-03 10:25:24.248";"NST_correctLoc";"8";"0";"FINISHED";"LEFT";"success";"392";"0";"2014-10-03 10:25:22.998";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"18";"17";"module.training_block1.exec-9441.GoNoGo1";"1244";"2014-10-03 10:25:26.771";"NST_correctLoc";"32";"0";"FINISHED";"LEFT";"success";"356";"0";"2014-10-03 10:25:25.521";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"19";"18";"module.training_block1.exec-9441.GoNoGo1";"1248";"2014-10-03 10:25:29.294";"NST_correctLoc";"13";"1";"FINISHED";"RIGHT";"success";"364";"0";"2014-10-03 10:25:28.044";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"20";"19";"module.training_block1.exec-9441.GoNoGo1";"1248";"2014-10-03 10:25:31.810";"NST_correctLoc";"3";"0";"FINISHED";"LEFT";"success";"329";"0";"2014-10-03 10:25:30.560";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"21";"20";"module.training_block1.exec-9441.GoNoGo1";"1243";"2014-10-03 10:25:34.326";"NST_correctLoc";"10";"1";"FINISHED";"RIGHT";"success";"329";"0";"2014-10-03 10:25:33.076";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"22";"21";"module.training_block1.exec-9441.GoNoGo1";"1248";"2014-10-03 10:25:36.841";"NST_correctLoc";"18";"0";"FINISHED";"LEFT";"success";"322";"0";"2014-10-03 10:25:35.591";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"23";"22";"module.training_block1.exec-9441.GoNoGo1";"1248";"2014-10-03 10:25:39.357";"NST_correctLoc";"23";"1";"FINISHED";"RIGHT";"success";"390";"0";"2014-10-03 10:25:38.107";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"24";"23";"module.training_block1.exec-9441.GoNoGo1";"1244";"2014-10-03 10:25:41.888";"NST_correctLoc";"24";"1";"FINISHED";"RIGHT";"success";"375";"0";"2014-10-03 10:25:40.638";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"25";"24";"module.training_block1.exec-9441.GoNoGo1";"1245";"2014-10-03 10:25:44.404";"NST_correctLoc";"0";"1";"FINISHED";"RIGHT";"success";"364";"0";"2014-10-03 10:25:43.154";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"26";"25";"module.training_block1.exec-9441.GoNoGo1";"1245";"2014-10-03 10:25:46.919";"NST_correctLoc";"35";"1";"FINISHED";"RIGHT";"success";"329";"0";"2014-10-03 10:25:45.669";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c1359542";"26/01/1995";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-10-03 10:23:17.904";"2014-10-03 10:45:35.279";"1";;;;"0";"1";"0";"0";;;;;;"27";"26";"module.training_block1.exec-9441.GoNoGo1";"1245";"2014-10-03 10:25:49.435";"NST_correctLoc";"12";"0";"FINISHED";"LEFT";"success";"317";"0";"2014-10-03 10:25:48.185";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
