"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2514.conditionType";"session.node-8108.blockOrder";"session.node-8108.IATorder";"session.node-8108.keyOrder";"session.node-9503.conditionType";"session.node-9732.blockOrder";"session.node-9732.IATorder";"session.node-9732.keyOrder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"11";"10";"module.GoNoGopractice.exec-4919.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1947";"2014-10-01 10:47:57.476";"34";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-10-01 10:47:55.523";"3";;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"12";"11";"module.GoNoGopractice.exec-4919.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1947";"2014-10-01 10:48:00.695";"23";"1";"FINISHED";"RIGHT";"success";"399";"0";"2014-10-01 10:47:58.742";"3";;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"13";"12";"module.GoNoGopractice.exec-4919.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1947";"2014-10-01 10:48:03.914";"13";"0";"FINISHED";"LEFT";"failure";"388";"1";"2014-10-01 10:48:01.960";"2";;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"14";"13";"module.GoNoGopractice.exec-4919.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1948";"2014-10-01 10:48:07.132";"3";"1";"FINISHED";"RIGHT";"success";"498";"0";"2014-10-01 10:48:05.179";"1";;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"15";"14";"module.GoNoGopractice.exec-4919.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1947";"2014-10-01 10:48:10.351";"27";"1";"FINISHED";"RIGHT";"failure";"479";"1";"2014-10-01 10:48:08.398";"3";;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"16";"15";"module.training_block1.exec-1706.GoNoGo1";"1244";"2014-10-01 10:48:24.320";"ST_failedStop";"5";"0";"FINISHED";"LEFT";"failure";"398";"1";"2014-10-01 10:48:23.070";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"17";"16";"module.training_block1.exec-1706.GoNoGo1";"1248";"2014-10-01 10:48:26.835";"NST_correctLoc";"18";"1";"FINISHED";"RIGHT";"success";"862";"0";"2014-10-01 10:48:25.585";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"18";"17";"module.training_block1.exec-1706.GoNoGo1";"1248";"2014-10-01 10:48:29.351";"NST_correctLoc";"34";"0";"FINISHED";"LEFT";"success";"290";"0";"2014-10-01 10:48:28.101";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"19";"18";"module.training_block1.exec-1706.GoNoGo1";"1244";"2014-10-01 10:48:31.867";"ST_failedStop";"1";"0";"FINISHED";"LEFT";"failure";"363";"1";"2014-10-01 10:48:30.617";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"20";"19";"module.training_block1.exec-1706.GoNoGo1";"1244";"2014-10-01 10:48:34.382";"ST_failedStop";"8";"1";"FINISHED";"RIGHT";"failure";"296";"1";"2014-10-01 10:48:33.132";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"21";"20";"module.training_block1.exec-1706.GoNoGo1";"1245";"2014-10-01 10:48:36.898";"ST_failedStop";"33";"1";"FINISHED";"RIGHT";"failure";"300";"1";"2014-10-01 10:48:35.648";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"22";"21";"module.training_block1.exec-1706.GoNoGo1";"1248";"2014-10-01 10:48:39.414";"ST_failedStop";"6";"1";"FINISHED";"RIGHT";"failure";"324";"1";"2014-10-01 10:48:38.164";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"23";"22";"module.training_block1.exec-1706.GoNoGo1";"1244";"2014-10-01 10:48:41.929";"ST_failedStop";"31";"0";"FINISHED";"LEFT";"failure";"349";"1";"2014-10-01 10:48:40.679";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"24";"23";"module.training_block1.exec-1706.GoNoGo1";"1245";"2014-10-01 10:48:44.445";"NST_correctLoc";"9";"1";"FINISHED";"RIGHT";"success";"313";"0";"2014-10-01 10:48:43.195";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"25";"24";"module.training_block1.exec-1706.GoNoGo1";"1244";"2014-10-01 10:48:46.960";"ST_failedStop";"4";"1";"FINISHED";"RIGHT";"failure";"373";"1";"2014-10-01 10:48:45.710";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"26";"25";"module.training_block1.exec-1706.GoNoGo1";"1248";"2014-10-01 10:48:49.476";"ST_failedStop";"3";"0";"FINISHED";"LEFT";"failure";"333";"1";"2014-10-01 10:48:48.226";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"27";"26";"module.training_block1.exec-1706.GoNoGo1";"1245";"2014-10-01 10:48:51.992";"ST_failedStop";"28";"1";"FINISHED";"RIGHT";"failure";"302";"1";"2014-10-01 10:48:50.742";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"28";"27";"module.training_block1.exec-1706.GoNoGo1";"1248";"2014-10-01 10:48:54.507";"NST_correctLoc";"23";"0";"FINISHED";"LEFT";"success";"254";"0";"2014-10-01 10:48:53.257";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"29";"28";"module.training_block1.exec-1706.GoNoGo1";"1244";"2014-10-01 10:48:57.023";"NST_correctLoc";"22";"0";"FINISHED";"LEFT";"success";"294";"0";"2014-10-01 10:48:55.773";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
