"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-6367.conditionType";"session.node-8593.blockOrder";"session.node-8593.IATorder";"session.node-8593.keyOrder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"11";"10";"module.GoNoGopractice.exec-8840.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;"1954";"2014-09-11 11:18:58.661";"34";"0";"FINISHED";"LEFT";"success";"552";"0";"2014-09-11 11:18:56.706";"3";;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"12";"11";"module.GoNoGopractice.exec-8840.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;"1953";"2014-09-11 11:19:01.918";"23";"1";"FINISHED";"RIGHT";"success";"317";"0";"2014-09-11 11:18:59.964";"3";;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"13";"12";"module.GoNoGopractice.exec-8840.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;"1954";"2014-09-11 11:19:05.170";"13";"0";"FINISHED";"LEFT";"failure";"370";"1";"2014-09-11 11:19:03.216";"2";;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"14";"13";"module.GoNoGopractice.exec-8840.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;"1953";"2014-09-11 11:19:08.427";"3";"1";"FINISHED";"RIGHT";"success";"455";"0";"2014-09-11 11:19:06.473";"1";;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"15";"14";"module.GoNoGopractice.exec-8840.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;"1954";"2014-09-11 11:19:11.687";"27";"1";"FINISHED";"RIGHT";"failure";"388";"1";"2014-09-11 11:19:09.732";"3";;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"16";"15";"module.training_block1.exec-1355.GoNoGo1";"1252";"2014-09-11 11:23:32.620";"NST_correctLoc";"12";"1";"FINISHED";"RIGHT";"success";"620";"0";"2014-09-11 11:23:31.367";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"17";"16";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:23:35.167";"NST_correctLoc";"26";"1";"FINISHED";"RIGHT";"success";"383";"0";"2014-09-11 11:23:33.916";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"18";"17";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:23:37.714";"ST_failedStop";"27";"1";"FINISHED";"RIGHT";"failure";"397";"1";"2014-09-11 11:23:36.463";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"19";"18";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:23:40.269";"ST_failedStop";"22";"0";"FINISHED";"LEFT";"failure";"377";"1";"2014-09-11 11:23:39.019";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"20";"19";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:23:42.821";"ST_failedStop";"33";"1";"FINISHED";"RIGHT";"failure";"297";"1";"2014-09-11 11:23:41.570";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
