"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-7084.blockOrder";"session.node-7084.IATorder";"session.node-7084.keyOrder";"session.node-7320.conditionType";"session.node-7865.blockOrder";"session.node-7865.IATorder";"session.node-7865.keyOrder";"session.node-7868.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"1";"0";"module.GoNoGotutorial.exec-3249.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4001";"2014-02-22 09:18:45.828";"leftResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:18:41.827"
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"2";"1";"module.GoNoGotutorial.exec-3249.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4000";"2014-02-22 09:18:52.035";"rightResponse";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:18:48.034"
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"3";"2";"module.GoNoGotutorial.exec-3249.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4000";"2014-02-22 09:18:57.383";"quickResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:18:53.383"
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"4";"3";"module.GoNoGopractice.exec-5170.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1966";"2014-02-22 09:19:06.021";"18";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:19:04.055";"3";;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"5";"4";"module.GoNoGopractice.exec-5170.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1952";"2014-02-22 09:19:09.309";"21";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:19:07.356";"3";;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"6";"5";"module.GoNoGopractice.exec-5170.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-02-22 09:19:12.604";"14";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:19:10.653";"2";;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"7";"6";"module.GoNoGopractice.exec-5170.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-02-22 09:19:15.862";"26";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:19:13.911";"3";;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"8";"7";"module.GoNoGopractice.exec-5170.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1954";"2014-02-22 09:19:19.132";"2";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:19:17.177";"1";;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"9";"8";"module.GoNoGopractice.exec-5170.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1951";"2014-02-22 09:19:22.385";"30";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:19:20.433";"3";;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"10";"9";"module.GoNoGopractice.exec-5170.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1952";"2014-02-22 09:19:25.621";"6";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:19:23.668";"1";;;;;;;;;;
