"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.level.level";"session.level.totalMaxPoints";"session.level.totalMinPoints";"session.level.totalPoints";"trial.id";"trial.index";"trial.name";"trial.demoTask.answer";"trial.demoTask.durationTime";"trial.demoTask.endTime";"trial.demoTask.maxPoints";"trial.demoTask.minPoints";"trial.demoTask.outcome";"trial.demoTask.points";"trial.demoTask.question";"trial.demoTask.response";"trial.demoTask.result";"trial.demoTask.startTime";"trial.level.levelChangeDelta";"trial.level.levelCounter";"trial.level.levelPerformance";"trial.level.maxPoints";"trial.level.minPoints";"trial.level.points"
"bob";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-27 10:38:54.700";"2013-03-27 10:39:16.403";"1";"3";"10";"0";"10";"1";"0";"module.main.exec.demoTask";"GREEN";"2821";"2013-03-27 10:38:59.684";"1";"0";"FINISHED";"1";"green";"GREEN";"success";"2013-03-27 10:38:56.856";;"1";;"1";"0";"1"
"bob";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-27 10:38:54.700";"2013-03-27 10:39:16.403";"1";"3";"10";"0";"10";"2";"1";"module.main.exec.demoTask";"GREEN";"634";"2013-03-27 10:39:00.840";"1";"0";"FINISHED";"1";"blue";"GREEN";"success";"2013-03-27 10:39:00.215";;"2";;"1";"0";"1"
"bob";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-27 10:38:54.700";"2013-03-27 10:39:16.403";"1";"3";"10";"0";"10";"3";"2";"module.main.exec.demoTask";"GREEN";"626";"2013-03-27 10:39:01.997";"1";"0";"FINISHED";"1";"green";"GREEN";"success";"2013-03-27 10:39:01.372";;"3";;"1";"0";"1"
"bob";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-27 10:38:54.700";"2013-03-27 10:39:16.403";"1";"3";"10";"0";"10";"4";"3";"module.main.exec.demoTask";"BLUE";"642";"2013-03-27 10:39:03.169";"1";"0";"FINISHED";"1";"blue";"BLUE";"success";"2013-03-27 10:39:02.528";"1";"0";"100.0";"1";"0";"1"
"bob";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-27 10:38:54.700";"2013-03-27 10:39:16.403";"1";"3";"10";"0";"10";"5";"4";"module.main.exec.demoTask";"BLUE";"1022";"2013-03-27 10:39:07.731";"1";"0";"FINISHED";"1";"green";"BLUE";"success";"2013-03-27 10:39:06.700";;"1";;"1";"0";"1"
"bob";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-27 10:38:54.700";"2013-03-27 10:39:16.403";"1";"3";"10";"0";"10";"6";"5";"module.main.exec.demoTask";"BLUE";"423";"2013-03-27 10:39:08.669";"1";"0";"FINISHED";"1";"green";"BLUE";"success";"2013-03-27 10:39:08.247";;"2";;"1";"0";"1"
"bob";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-27 10:38:54.700";"2013-03-27 10:39:16.403";"1";"3";"10";"0";"10";"7";"6";"module.main.exec.demoTask";"BLUE";"430";"2013-03-27 10:39:09.622";"1";"0";"FINISHED";"1";"green";"BLUE";"success";"2013-03-27 10:39:09.200";;"3";;"1";"0";"1"
"bob";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-27 10:38:54.700";"2013-03-27 10:39:16.403";"1";"3";"10";"0";"10";"8";"7";"module.main.exec.demoTask";"BLUE";"557";"2013-03-27 10:39:10.700";"1";"0";"FINISHED";"1";"blue";"BLUE";"success";"2013-03-27 10:39:10.153";"1";"0";"100.0";"1";"0";"1"
"bob";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-27 10:38:54.700";"2013-03-27 10:39:16.403";"1";"3";"10";"0";"10";"9";"8";"module.main.exec.demoTask";"GREEN";"1221";"2013-03-27 10:39:15.450";"1";"0";"FINISHED";"1";"blue";"GREEN";"success";"2013-03-27 10:39:14.231";;"1";;"1";"0";"1"
"bob";;;"Windows XP";"Demo Module";"1.0";"1";"1";"1";"1";"1";"1";"2013-03-27 10:38:54.700";"2013-03-27 10:39:16.403";"1";"3";"10";"0";"10";"10";"9";"module.main.exec.demoTask";"GREEN";"409";"2013-03-27 10:39:16.387";"1";"0";"FINISHED";"1";"blue";"GREEN";"success";"2013-03-27 10:39:15.981";;"2";;"1";"0";"1"
