"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-1588.conditionType";"session.node-5187.DPorder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"11";"10";"module.GoNoGopractice.exec-5611.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-02-11 17:55:41.732";"34";"0";"FINISHED";"LEFT";"success";"454";"0";"2014-02-11 17:55:39.781";"3";;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"12";"11";"module.GoNoGopractice.exec-5611.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-02-11 17:55:44.969";"23";"1";"FINISHED";"RIGHT";"success";"484";"0";"2014-02-11 17:55:43.018";"3";;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"13";"12";"module.GoNoGopractice.exec-5611.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-02-11 17:55:48.212";"13";"0";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 17:55:46.261";"2";;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"14";"13";"module.GoNoGopractice.exec-5611.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1951";"2014-02-11 17:55:51.462";"3";"1";"FINISHED";"RIGHT";"success";"629";"0";"2014-02-11 17:55:49.510";"1";;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"15";"14";"module.GoNoGopractice.exec-5611.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1951";"2014-02-11 17:55:54.694";"27";"1";"FINISHED";"RIGHT";"failure";"658";"1";"2014-02-11 17:55:52.742";"3";;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"16";"15";"module.training_block1.exec-6146.GoNoGo1";"1250";"2014-02-11 17:56:01.699";"23";"0";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 17:56:00.449";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"17";"16";"module.training_block1.exec-6146.GoNoGo1";"1249";"2014-02-11 17:56:04.227";"14";"0";"FINISHED";"LEFT";"success";"563";"0";"2014-02-11 17:56:02.977";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"18";"17";"module.training_block1.exec-6146.GoNoGo1";"1250";"2014-02-11 17:56:06.769";"0";"0";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 17:56:05.519";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"19";"18";"module.training_block1.exec-6146.GoNoGo1";"1249";"2014-02-11 17:56:09.305";"2";"1";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 17:56:08.055";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"20";"19";"module.training_block1.exec-6146.GoNoGo1";"1250";"2014-02-11 17:56:11.837";"18";"1";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 17:56:10.587";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
