"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-5456.DevalQorder";"session.node-5834.conditionType";"session.node-6124.conditionType";"session.node-7943.DevalQorder";"trial.id";"trial.index";"trial.name";"module.GoNoGotutorial.exec-2550.GoNoGo_Tutorial.durationTime";"module.GoNoGotutorial.exec-2550.GoNoGo_Tutorial.endTime";"module.GoNoGotutorial.exec-2550.GoNoGo_Tutorial.icon";"module.GoNoGotutorial.exec-2550.GoNoGo_Tutorial.location";"module.GoNoGotutorial.exec-2550.GoNoGo_Tutorial.outcome";"module.GoNoGotutorial.exec-2550.GoNoGo_Tutorial.response";"module.GoNoGotutorial.exec-2550.GoNoGo_Tutorial.result";"module.GoNoGotutorial.exec-2550.GoNoGo_Tutorial.RT";"module.GoNoGotutorial.exec-2550.GoNoGo_Tutorial.signal";"module.GoNoGotutorial.exec-2550.GoNoGo_Tutorial.startTime";"module.GoNoGotutorial.exec-8808.GoNoGo_Tutorial.durationTime";"module.GoNoGotutorial.exec-8808.GoNoGo_Tutorial.endTime";"module.GoNoGotutorial.exec-8808.GoNoGo_Tutorial.icon";"module.GoNoGotutorial.exec-8808.GoNoGo_Tutorial.location";"module.GoNoGotutorial.exec-8808.GoNoGo_Tutorial.outcome";"module.GoNoGotutorial.exec-8808.GoNoGo_Tutorial.response";"module.GoNoGotutorial.exec-8808.GoNoGo_Tutorial.result";"module.GoNoGotutorial.exec-8808.GoNoGo_Tutorial.RT";"module.GoNoGotutorial.exec-8808.GoNoGo_Tutorial.signal";"module.GoNoGotutorial.exec-8808.GoNoGo_Tutorial.startTime"
"ruby";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"7";"2";"2015-02-09 21:32:48.407";"2015-02-09 21:33:01.229";"1";"1";"0";;;"9";"0";"module.GoNoGotutorial.exec-8808.GoNoGo_Tutorial";;;;;;;;;;;"4000";"2015-02-09 21:32:57.213";"leftResponse";"0";"FINISHED";"RIGHT";"failure";"1262";"0";"2015-02-09 21:32:53.212"
"ruby";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"7";"2";"2015-02-09 21:32:48.407";"2015-02-09 21:33:01.229";"1";"1";"0";;;"10";"1";"module.GoNoGotutorial.exec-8808.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;
