"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-6124.conditionType";"session.node-7943.DevalQorder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"ruby";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"6";"1";"2015-02-09 21:32:30.347";"2015-02-09 21:32:43.401";"1";"1";"1";"7";"0";"module.GoNoGotutorial.exec-2550.GoNoGo_Tutorial";"3999";"2015-02-09 21:32:38.876";"leftResponse";"0";"FINISHED";"LEFT";"success";"926";"0";"2015-02-09 21:32:34.875"
"ruby";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"6";"1";"2015-02-09 21:32:30.347";"2015-02-09 21:32:43.401";"1";"1";"1";"8";"1";"module.GoNoGotutorial.exec-2550.GoNoGo_Tutorial";;;;;;;;;;
