"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2406.conditionType";"session.node-4959.DevalQorder";"session.node-7153.conditionType";"session.node-7729.DevalQorder";"trial.id";"trial.index";"trial.name";"module.devaluation_block1.exec-4190.deval1.durationTime";"module.devaluation_block1.exec-4190.deval1.endTime";"module.devaluation_block1.exec-4190.deval1.icon";"module.devaluation_block1.exec-4190.deval1.Resp_Attractive";"module.devaluation_block1.exec-4190.deval1.Resp_Eat";"module.devaluation_block1.exec-4190.deval1.Resp_Taste";"module.devaluation_block1.exec-4190.deval1.RT_Attractive";"module.devaluation_block1.exec-4190.deval1.RT_Eat";"module.devaluation_block1.exec-4190.deval1.RT_Taste";"module.devaluation_block1.exec-4190.deval1.startTime";"module.devaluation_block1.exec-4190.deval1.stimulus type";"module.devaluation_practice.exec-6635.devalPractice.durationTime";"module.devaluation_practice.exec-6635.devalPractice.endTime";"module.devaluation_practice.exec-6635.devalPractice.icon";"module.devaluation_practice.exec-6635.devalPractice.Resp_Attractive";"module.devaluation_practice.exec-6635.devalPractice.Resp_Eat";"module.devaluation_practice.exec-6635.devalPractice.Resp_Taste";"module.devaluation_practice.exec-6635.devalPractice.RT_Attractive";"module.devaluation_practice.exec-6635.devalPractice.RT_Eat";"module.devaluation_practice.exec-6635.devalPractice.RT_Taste";"module.devaluation_practice.exec-6635.devalPractice.startTime";"module.devaluation_practice.exec-6635.devalPractice.stimulus type";"module.GoNoGopractice.exec-1491.GoNoGo_Practice.durationTime";"module.GoNoGopractice.exec-1491.GoNoGo_Practice.endTime";"module.GoNoGopractice.exec-1491.GoNoGo_Practice.icon";"module.GoNoGopractice.exec-1491.GoNoGo_Practice.location";"module.GoNoGopractice.exec-1491.GoNoGo_Practice.outcome";"module.GoNoGopractice.exec-1491.GoNoGo_Practice.response";"module.GoNoGopractice.exec-1491.GoNoGo_Practice.result";"module.GoNoGopractice.exec-1491.GoNoGo_Practice.RT";"module.GoNoGopractice.exec-1491.GoNoGo_Practice.signal";"module.GoNoGopractice.exec-1491.GoNoGo_Practice.startTime";"module.GoNoGopractice.exec-1491.GoNoGo_Practice.stimulus type";"module.GoNoGopractice.exec-6129.GoNoGo_Practice.durationTime";"module.GoNoGopractice.exec-6129.GoNoGo_Practice.endTime";"module.GoNoGopractice.exec-6129.GoNoGo_Practice.icon";"module.GoNoGopractice.exec-6129.GoNoGo_Practice.location";"module.GoNoGopractice.exec-6129.GoNoGo_Practice.outcome";"module.GoNoGopractice.exec-6129.GoNoGo_Practice.response";"module.GoNoGopractice.exec-6129.GoNoGo_Practice.result";"module.GoNoGopractice.exec-6129.GoNoGo_Practice.RT";"module.GoNoGopractice.exec-6129.GoNoGo_Practice.signal";"module.GoNoGopractice.exec-6129.GoNoGo_Practice.startTime";"module.GoNoGopractice.exec-6129.GoNoGo_Practice.stimulus type";"module.GoNoGotutorial.exec-6449.GoNoGo_Tutorial.durationTime";"module.GoNoGotutorial.exec-6449.GoNoGo_Tutorial.endTime";"module.GoNoGotutorial.exec-6449.GoNoGo_Tutorial.icon";"module.GoNoGotutorial.exec-6449.GoNoGo_Tutorial.location";"module.GoNoGotutorial.exec-6449.GoNoGo_Tutorial.outcome";"module.GoNoGotutorial.exec-6449.GoNoGo_Tutorial.response";"module.GoNoGotutorial.exec-6449.GoNoGo_Tutorial.result";"module.GoNoGotutorial.exec-6449.GoNoGo_Tutorial.RT";"module.GoNoGotutorial.exec-6449.GoNoGo_Tutorial.signal";"module.GoNoGotutorial.exec-6449.GoNoGo_Tutorial.startTime";"module.GoNoGotutorial.exec-9399.GoNoGo_Tutorial.durationTime";"module.GoNoGotutorial.exec-9399.GoNoGo_Tutorial.endTime";"module.GoNoGotutorial.exec-9399.GoNoGo_Tutorial.icon";"module.GoNoGotutorial.exec-9399.GoNoGo_Tutorial.location";"module.GoNoGotutorial.exec-9399.GoNoGo_Tutorial.outcome";"module.GoNoGotutorial.exec-9399.GoNoGo_Tutorial.response";"module.GoNoGotutorial.exec-9399.GoNoGo_Tutorial.result";"module.GoNoGotutorial.exec-9399.GoNoGo_Tutorial.RT";"module.GoNoGotutorial.exec-9399.GoNoGo_Tutorial.signal";"module.GoNoGotutorial.exec-9399.GoNoGo_Tutorial.startTime";"module.training_block1.exec-8334.GoNoGo1.durationTime";"module.training_block1.exec-8334.GoNoGo1.endTime";"module.training_block1.exec-8334.GoNoGo1.Error Type";"module.training_block1.exec-8334.GoNoGo1.icon";"module.training_block1.exec-8334.GoNoGo1.location";"module.training_block1.exec-8334.GoNoGo1.outcome";"module.training_block1.exec-8334.GoNoGo1.response";"module.training_block1.exec-8334.GoNoGo1.result";"module.training_block1.exec-8334.GoNoGo1.RT";"module.training_block1.exec-8334.GoNoGo1.signal";"module.training_block1.exec-8334.GoNoGo1.startTime";"module.training_block1.exec-8334.GoNoGo1.stimulus type";"module.training_block2.exec-9986.GoNoGo2.durationTime";"module.training_block2.exec-9986.GoNoGo2.endTime";"module.training_block2.exec-9986.GoNoGo2.Error Type";"module.training_block2.exec-9986.GoNoGo2.icon";"module.training_block2.exec-9986.GoNoGo2.location";"module.training_block2.exec-9986.GoNoGo2.outcome";"module.training_block2.exec-9986.GoNoGo2.response";"module.training_block2.exec-9986.GoNoGo2.result";"module.training_block2.exec-9986.GoNoGo2.RT";"module.training_block2.exec-9986.GoNoGo2.signal";"module.training_block2.exec-9986.GoNoGo2.startTime";"module.training_block2.exec-9986.GoNoGo2.stimulus type";"module.training_block3.exec-6462.GoNoGo3.durationTime";"module.training_block3.exec-6462.GoNoGo3.endTime";"module.training_block3.exec-6462.GoNoGo3.Error Type";"module.training_block3.exec-6462.GoNoGo3.icon";"module.training_block3.exec-6462.GoNoGo3.location";"module.training_block3.exec-6462.GoNoGo3.outcome";"module.training_block3.exec-6462.GoNoGo3.response";"module.training_block3.exec-6462.GoNoGo3.result";"module.training_block3.exec-6462.GoNoGo3.RT";"module.training_block3.exec-6462.GoNoGo3.signal";"module.training_block3.exec-6462.GoNoGo3.startTime";"module.training_block3.exec-6462.GoNoGo3.stimulus type";"module.training_block4.exec-7731.GoNoGo4.durationTime";"module.training_block4.exec-7731.GoNoGo4.endTime";"module.training_block4.exec-7731.GoNoGo4.Error Type";"module.training_block4.exec-7731.GoNoGo4.icon";"module.training_block4.exec-7731.GoNoGo4.location";"module.training_block4.exec-7731.GoNoGo4.outcome";"module.training_block4.exec-7731.GoNoGo4.response";"module.training_block4.exec-7731.GoNoGo4.result";"module.training_block4.exec-7731.GoNoGo4.RT";"module.training_block4.exec-7731.GoNoGo4.signal";"module.training_block4.exec-7731.GoNoGo4.startTime";"module.training_block4.exec-7731.GoNoGo4.stimulus type"
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"4";"2";"2014-10-02 10:21:40.639";"2014-10-02 10:34:36.168";"1";;"0";"0";;"512";"11";"module.GoNoGopractice.exec-1491.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2014-10-02 10:22:40.343";"23";"1";"FINISHED";"RIGHT";"success";"391";"0";"2014-10-02 10:22:38.393";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"4";"2";"2014-10-02 10:21:40.639";"2014-10-02 10:34:36.168";"1";;"0";"0";;"513";"12";"module.GoNoGopractice.exec-1491.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2014-10-02 10:22:43.567";"13";"0";"FINISHED";"LEFT";"success";"431";"0";"2014-10-02 10:22:41.617";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"4";"2";"2014-10-02 10:21:40.639";"2014-10-02 10:34:36.168";"1";;"0";"0";;"514";"13";"module.GoNoGopractice.exec-1491.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2014-10-02 10:22:46.794";"3";"1";"FINISHED";"RIGHT";"success";"612";"0";"2014-10-02 10:22:44.843";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"4";"2";"2014-10-02 10:21:40.639";"2014-10-02 10:34:36.168";"1";;"0";"0";;"515";"14";"module.GoNoGopractice.exec-1491.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-10-02 10:22:50.018";"27";"1";"FINISHED";"RIGHT";"success";"572";"0";"2014-10-02 10:22:48.068";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"4";"2";"2014-10-02 10:21:40.639";"2014-10-02 10:34:36.168";"1";;"0";"0";;"516";"15";"module.training_block1.exec-8334.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1249";"2014-10-02 10:22:56.138";"NST_correctLoc";"7";"0";"FINISHED";"LEFT";"success";"681";"0";"2014-10-02 10:22:54.887";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"4";"2";"2014-10-02 10:21:40.639";"2014-10-02 10:34:36.168";"1";;"0";"0";;"517";"16";"module.training_block1.exec-8334.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-10-02 10:22:58.663";"NST_correctLoc";"2";"0";"FINISHED";"LEFT";"success";"524";"0";"2014-10-02 10:22:57.413";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"4";"2";"2014-10-02 10:21:40.639";"2014-10-02 10:34:36.168";"1";;"0";"0";;"518";"17";"module.training_block1.exec-8334.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-10-02 10:23:01.186";"NST_correctLoc";"27";"1";"FINISHED";"RIGHT";"success";"385";"0";"2014-10-02 10:22:59.936";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"4";"2";"2014-10-02 10:21:40.639";"2014-10-02 10:34:36.168";"1";;"0";"0";;"519";"18";"module.training_block1.exec-8334.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1249";"2014-10-02 10:23:03.716";"NST_correctLoc";"11";"1";"FINISHED";"RIGHT";"success";"446";"0";"2014-10-02 10:23:02.466";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"4";"2";"2014-10-02 10:21:40.639";"2014-10-02 10:34:36.168";"1";;"0";"0";;"520";"19";"module.training_block1.exec-8334.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1249";"2014-10-02 10:23:06.241";"NST_correctLoc";"16";"0";"FINISHED";"LEFT";"success";"418";"0";"2014-10-02 10:23:04.990";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"4";"2";"2014-10-02 10:21:40.639";"2014-10-02 10:34:36.168";"1";;"0";"0";;"521";"20";"module.training_block1.exec-8334.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1249";"2014-10-02 10:23:08.767";"NST_correctLoc";"32";"1";"FINISHED";"RIGHT";"success";"388";"0";"2014-10-02 10:23:07.517";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"4";"2";"2014-10-02 10:21:40.639";"2014-10-02 10:34:36.168";"1";;"0";"0";;"522";"21";"module.training_block1.exec-8334.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1249";"2014-10-02 10:23:11.291";"NST_correctLoc";"10";"0";"FINISHED";"LEFT";"success";"488";"0";"2014-10-02 10:23:10.041";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
