"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2406.conditionType";"session.node-7729.DevalQorder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"3";"1";"2014-10-02 10:14:14.540";"2014-10-02 10:14:58.496";"1";"0";"0";"496";"0";"module.GoNoGotutorial.exec-9399.GoNoGo_Tutorial";;;;;;;;;;;;"4000";"2014-10-02 10:14:37.640";"leftResponse";"0";"FINISHED";"LEFT";"success";"1556";"0";"2014-10-02 10:14:33.640"
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"3";"1";"2014-10-02 10:14:14.540";"2014-10-02 10:14:58.496";"1";"0";"0";"497";"1";"module.GoNoGotutorial.exec-9399.GoNoGo_Tutorial";;;;;;;;;;;;"4000";"2014-10-02 10:14:42.928";"rightResponse";"1";"FINISHED";"RIGHT";"success";"924";"0";"2014-10-02 10:14:38.928"
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"3";"1";"2014-10-02 10:14:14.540";"2014-10-02 10:14:58.496";"1";"0";"0";"498";"2";"module.GoNoGotutorial.exec-9399.GoNoGo_Tutorial";;;;;;;;;;;;"4000";"2014-10-02 10:14:48.212";"quickResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-10-02 10:14:44.211"
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"3";"1";"2014-10-02 10:14:14.540";"2014-10-02 10:14:58.496";"1";"0";"0";"499";"3";"module.GoNoGopractice.exec-6129.GoNoGo_Practice";"1953";"2014-10-02 10:14:55.130";"18";"0";"FINISHED";"LEFT";"success";"419";"0";"2014-10-02 10:14:53.177";"3";;;;;;;;;;
"201085R";"1985";;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"3";"1";"2014-10-02 10:14:14.540";"2014-10-02 10:14:58.496";"1";"0";"0";"500";"4";"module.GoNoGopractice.exec-6129.GoNoGo_Practice";"1949";"2014-10-02 10:14:58.359";"21";"1";"FINISHED";"RIGHT";"success";"386";"0";"2014-10-02 10:14:56.409";"3";;;;;;;;;;
