"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-6799.DevalQorder";"session.node-8525.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"61";"60";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:52:30.510";"ST_correctStop";"1";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:52:29.259";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"62";"61";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1249";"2014-10-16 12:52:33.062";"NST_correctLoc";"30";"1";"FINISHED";"RIGHT";"success";"534";"0";"2014-10-16 12:52:31.812";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"63";"62";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1249";"2014-10-16 12:52:35.604";"NST_correctLoc";"15";"1";"FINISHED";"RIGHT";"success";"457";"0";"2014-10-16 12:52:34.354";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"64";"63";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:52:38.145";"ST_correctStop";"33";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:52:36.895";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"65";"64";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:52:40.685";"NST_correctLoc";"29";"1";"FINISHED";"RIGHT";"success";"530";"0";"2014-10-16 12:52:39.434";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"66";"65";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:52:43.228";"NST_correctLoc";"22";"1";"FINISHED";"RIGHT";"success";"686";"0";"2014-10-16 12:52:41.978";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"67";"66";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:52:45.769";"ST_correctStop";"0";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:52:44.519";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"68";"67";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1249";"2014-10-16 12:52:48.309";"ST_correctStop";"21";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:52:47.059";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"69";"68";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1249";"2014-10-16 12:52:50.851";"ST_correctStop";"8";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:52:49.601";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"70";"69";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:52:53.391";"ST_correctStop";"18";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:52:52.141";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
