"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2291.conditionType";"session.node-6363.DevalQorder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"1447446";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 13:32:46.970";"2014-10-16 13:37:49.174";"1";"0";"1";"1";"0";"module.GoNoGotutorial.exec-8778.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;"3998";"2014-10-16 13:33:24.145";"leftResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-10-16 13:33:20.136"
"1447446";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 13:32:46.970";"2014-10-16 13:37:49.174";"1";"0";"1";"2";"1";"module.GoNoGotutorial.exec-8778.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;"4003";"2014-10-16 13:33:29.449";"rightResponse";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-10-16 13:33:25.440"
"1447446";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 13:32:46.970";"2014-10-16 13:37:49.174";"1";"0";"1";"3";"2";"module.GoNoGotutorial.exec-8778.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;"4003";"2014-10-16 13:33:34.753";"quickResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-10-16 13:33:30.744"
"1447446";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 13:32:46.970";"2014-10-16 13:37:49.174";"1";"0";"1";"4";"3";"module.GoNoGopractice.exec-2564.GoNoGo_Practice";;;;;;;;;;;;;"1959";"2014-10-16 13:33:41.586";"18";"0";"FINISHED";"LEFT";"success";"398";"0";"2014-10-16 13:33:39.620";"3";;;;;;;;;;
"1447446";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 13:32:46.970";"2014-10-16 13:37:49.174";"1";"0";"1";"5";"4";"module.GoNoGopractice.exec-2564.GoNoGo_Practice";;;;;;;;;;;;;"1954";"2014-10-16 13:33:44.830";"21";"1";"FINISHED";"RIGHT";"success";"781";"0";"2014-10-16 13:33:42.865";"3";;;;;;;;;;
"1447446";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 13:32:46.970";"2014-10-16 13:37:49.174";"1";"0";"1";"6";"5";"module.GoNoGopractice.exec-2564.GoNoGo_Practice";;;;;;;;;;;;;"1959";"2014-10-16 13:33:48.075";"14";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-10-16 13:33:46.110";"2";;;;;;;;;;
"1447446";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 13:32:46.970";"2014-10-16 13:37:49.174";"1";"0";"1";"7";"6";"module.GoNoGopractice.exec-2564.GoNoGo_Practice";;;;;;;;;;;;;"1958";"2014-10-16 13:33:51.320";"26";"0";"FINISHED";"LEFT";"success";"503";"0";"2014-10-16 13:33:49.355";"3";;;;;;;;;;
"1447446";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 13:32:46.970";"2014-10-16 13:37:49.174";"1";"0";"1";"8";"7";"module.GoNoGopractice.exec-2564.GoNoGo_Practice";;;;;;;;;;;;;"1959";"2014-10-16 13:33:54.565";"2";"0";"FINISHED";"LEFT";"success";"547";"0";"2014-10-16 13:33:52.599";"1";;;;;;;;;;
"1447446";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 13:32:46.970";"2014-10-16 13:37:49.174";"1";"0";"1";"9";"8";"module.GoNoGopractice.exec-2564.GoNoGo_Practice";;;;;;;;;;;;;"1960";"2014-10-16 13:33:57.810";"30";"0";"FINISHED";"LEFT";"success";"431";"0";"2014-10-16 13:33:55.844";"3";;;;;;;;;;
"1447446";;;"Windows 7";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 13:32:46.970";"2014-10-16 13:37:49.174";"1";"0";"1";"10";"9";"module.GoNoGopractice.exec-2564.GoNoGo_Practice";;;;;;;;;;;;;"1959";"2014-10-16 13:34:01.055";"6";"1";"FINISHED";"RIGHT";"success";"338";"0";"2014-10-16 13:33:59.089";"1";;;;;;;;;;
