"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2203.DPorder";"session.node-4480.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"Year2Prac_CEW";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 15:29:27.496";"2014-02-12 15:31:33.938";"1";"4";"0";"1";"0";"module.GoNoGotutorial.exec-7387.GoNoGo_Tutorial";;;;;;;;;;;;"4001";"2014-02-12 15:30:31.849";"leftResponse";"0";"FINISHED";"LEFT";"success";"716";"0";"2014-02-12 15:30:27.848"
"Year2Prac_CEW";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 15:29:27.496";"2014-02-12 15:31:33.938";"1";"4";"0";"2";"1";"module.GoNoGotutorial.exec-7387.GoNoGo_Tutorial";;;;;;;;;;;;"4001";"2014-02-12 15:30:37.145";"rightResponse";"1";"FINISHED";"RIGHT";"success";"716";"0";"2014-02-12 15:30:33.143"
"Year2Prac_CEW";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 15:29:27.496";"2014-02-12 15:31:33.938";"1";"4";"0";"3";"2";"module.GoNoGotutorial.exec-7387.GoNoGo_Tutorial";;;;;;;;;;;;"4001";"2014-02-12 15:30:42.469";"quickResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 15:30:38.467"
"Year2Prac_CEW";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 15:29:27.496";"2014-02-12 15:31:33.938";"1";"4";"0";"4";"3";"module.GoNoGopractice.exec-2828.GoNoGo_Practice";"1959";"2014-02-12 15:30:51.744";"18";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 15:30:49.785";"3";;;;;;;;;;
"Year2Prac_CEW";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 15:29:27.496";"2014-02-12 15:31:33.938";"1";"4";"0";"5";"4";"module.GoNoGopractice.exec-2828.GoNoGo_Practice";"1953";"2014-02-12 15:30:54.985";"21";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 15:30:53.031";"3";;;;;;;;;;
"Year2Prac_CEW";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 15:29:27.496";"2014-02-12 15:31:33.938";"1";"4";"0";"6";"5";"module.GoNoGopractice.exec-2828.GoNoGo_Practice";"1954";"2014-02-12 15:30:58.226";"14";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 15:30:56.272";"2";;;;;;;;;;
"Year2Prac_CEW";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 15:29:27.496";"2014-02-12 15:31:33.938";"1";"4";"0";"7";"6";"module.GoNoGopractice.exec-2828.GoNoGo_Practice";"1954";"2014-02-12 15:31:01.473";"26";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 15:30:59.519";"3";;;;;;;;;;
"Year2Prac_CEW";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 15:29:27.496";"2014-02-12 15:31:33.938";"1";"4";"0";"8";"7";"module.GoNoGopractice.exec-2828.GoNoGo_Practice";"1954";"2014-02-12 15:31:04.723";"2";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 15:31:02.769";"1";;;;;;;;;;
"Year2Prac_CEW";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 15:29:27.496";"2014-02-12 15:31:33.938";"1";"4";"0";"9";"8";"module.GoNoGopractice.exec-2828.GoNoGo_Practice";"1953";"2014-02-12 15:31:07.962";"30";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 15:31:06.008";"3";;;;;;;;;;
"Year2Prac_CEW";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 15:29:27.496";"2014-02-12 15:31:33.938";"1";"4";"0";"10";"9";"module.GoNoGopractice.exec-2828.GoNoGo_Practice";"1954";"2014-02-12 15:31:11.200";"6";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 15:31:09.246";"1";;;;;;;;;;
"Year2Prac_CEW";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 15:29:27.496";"2014-02-12 15:31:33.938";"1";"4";"0";"11";"10";"module.GoNoGopractice.exec-2828.GoNoGo_Practice";"1954";"2014-02-12 15:31:14.439";"34";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 15:31:12.485";"3";;;;;;;;;;
"Year2Prac_CEW";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 15:29:27.496";"2014-02-12 15:31:33.938";"1";"4";"0";"12";"11";"module.GoNoGopractice.exec-2828.GoNoGo_Practice";"1954";"2014-02-12 15:31:17.684";"23";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 15:31:15.729";"3";;;;;;;;;;
