"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-8277.DPorder";"session.node-9156.conditionType";"trial.id";"trial.index";"trial.name";"trial.DP_block1.durationTime";"trial.DP_block1.endTime";"trial.DP_block1.outcome";"trial.DP_block1.probeLoc";"trial.DP_block1.response";"trial.DP_block1.result";"trial.DP_block1.RT";"trial.DP_block1.startTime";"trial.DP_block1.stimDuration";"trial.DP_block1.wordLeft";"trial.DP_block1.wordRight";"trial.DP_practice.durationTime";"trial.DP_practice.endTime";"trial.DP_practice.outcome";"trial.DP_practice.probeLoc";"trial.DP_practice.response";"trial.DP_practice.result";"trial.DP_practice.RT";"trial.DP_practice.startTime";"trial.DP_practice.stimDuration";"trial.DP_practice.wordLeft";"trial.DP_practice.wordRight";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"11";"10";"module.GoNoGopractice.exec-9016.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1960";"2015-02-23 16:02:29.309";"34";"0";"FINISHED";"NONE";"failure";"0";"0";"2015-02-23 16:02:27.344";"3";;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"12";"11";"module.GoNoGopractice.exec-9016.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2015-02-23 16:02:32.554";"23";"1";"FINISHED";"NONE";"failure";"0";"0";"2015-02-23 16:02:30.588";"3";;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"13";"12";"module.GoNoGopractice.exec-9016.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1958";"2015-02-23 16:02:35.799";"13";"0";"FINISHED";"NONE";"failure";"0";"0";"2015-02-23 16:02:33.833";"2";;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"14";"13";"module.GoNoGopractice.exec-9016.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1960";"2015-02-23 16:02:39.044";"3";"1";"FINISHED";"NONE";"failure";"0";"0";"2015-02-23 16:02:37.078";"1";;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"15";"14";"module.GoNoGopractice.exec-9016.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2015-02-23 16:02:42.288";"27";"1";"FINISHED";"RIGHT";"success";"563";"0";"2015-02-23 16:02:40.323";"3";;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"16";"15";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1256";"2015-02-23 16:03:15.485";"NST_correctLoc";"16";"1";"FINISHED";"RIGHT";"success";"853";"0";"2015-02-23 16:03:14.222";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"17";"16";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1258";"2015-02-23 16:03:18.028";"NST_correctLoc";"19";"1";"FINISHED";"RIGHT";"success";"521";"0";"2015-02-23 16:03:16.764";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"18";"17";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1261";"2015-02-23 16:03:20.571";"NST_correctLoc";"27";"1";"FINISHED";"RIGHT";"success";"414";"0";"2015-02-23 16:03:19.307";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"19";"18";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2015-02-23 16:03:23.114";"NST_correctLoc";"0";"0";"FINISHED";"LEFT";"success";"411";"0";"2015-02-23 16:03:21.850";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"20";"19";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2015-02-23 16:03:25.657";"NST_correctLoc";"17";"1";"FINISHED";"RIGHT";"success";"340";"0";"2015-02-23 16:03:24.393";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"21";"20";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2015-02-23 16:03:28.199";"NST_correctLoc";"10";"1";"FINISHED";"RIGHT";"success";"421";"0";"2015-02-23 16:03:26.936";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"22";"21";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1258";"2015-02-23 16:03:30.851";"NST_correctLoc";"28";"1";"FINISHED";"RIGHT";"success";"378";"0";"2015-02-23 16:03:29.588";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"23";"22";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2015-02-23 16:03:33.394";"NST_correctLoc";"15";"1";"FINISHED";"RIGHT";"success";"346";"0";"2015-02-23 16:03:32.131";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"24";"23";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1258";"2015-02-23 16:03:35.937";"NST_correctLoc";"25";"0";"FINISHED";"LEFT";"success";"412";"0";"2015-02-23 16:03:34.673";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"25";"24";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1258";"2015-02-23 16:03:38.480";"NST_correctLoc";"24";"1";"FINISHED";"RIGHT";"success";"333";"0";"2015-02-23 16:03:37.216";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"26";"25";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1258";"2015-02-23 16:03:41.023";"NST_miss";"5";"1";"FINISHED";"NONE";"failure";"0";"0";"2015-02-23 16:03:39.759";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"27";"26";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1258";"2015-02-23 16:03:43.565";"NST_miss";"18";"1";"FINISHED";"NONE";"failure";"0";"0";"2015-02-23 16:03:42.302";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"28";"27";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2015-02-23 16:03:46.108";"NST_miss";"20";"1";"FINISHED";"NONE";"failure";"0";"0";"2015-02-23 16:03:44.845";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"29";"28";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2015-02-23 16:03:48.651";"NST_miss";"26";"1";"FINISHED";"NONE";"failure";"0";"0";"2015-02-23 16:03:47.387";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"30";"29";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2015-02-23 16:03:51.194";"NST_miss";"21";"1";"FINISHED";"NONE";"failure";"0";"0";"2015-02-23 16:03:49.930";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"31";"30";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2015-02-23 16:03:53.737";"NST_miss";"7";"0";"FINISHED";"NONE";"failure";"0";"0";"2015-02-23 16:03:52.473";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"32";"31";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1258";"2015-02-23 16:03:56.279";"NST_miss";"1";"1";"FINISHED";"NONE";"failure";"0";"0";"2015-02-23 16:03:55.016";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"33";"32";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2015-02-23 16:03:58.822";"NST_miss";"14";"0";"FINISHED";"NONE";"failure";"0";"0";"2015-02-23 16:03:57.559";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"34";"33";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1257";"2015-02-23 16:04:01.365";"NST_miss";"8";"1";"FINISHED";"NONE";"failure";"0";"0";"2015-02-23 16:04:00.101";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bbb";;;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-23 15:44:04.281";"2015-02-23 16:12:01.690";"1";"2";"0";"35";"34";"module.training_block1.exec-7095.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1258";"2015-02-23 16:04:03.908";"NST_miss";"30";"1";"FINISHED";"NONE";"failure";"0";"0";"2015-02-23 16:04:02.644";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
